"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Black","Grants Management","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Human Resources","East of England","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Human Resources","London","London","225","220","38420","34550"
"In post","2021","Black","Human Resources","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","North West (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Black","Human Resources","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Human Resources","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
