"Status","Year","Ethnicity","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","Crown Commercial Service","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","Undeclared","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Crown Office and Procurator Fiscal Service","Legal","Outside London","25","20","[c]","[c]"
"In post","2021","Undeclared","Crown Office and Procurator Fiscal Service","Operational Delivery","Outside London","25","25","[c]","[c]"
"In post","2021","Undeclared","Crown Prosecution Service","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2021","Undeclared","Crown Prosecution Service","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Crown Prosecution Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Crown Prosecution Service","Legal","London","25","25","[c]","[c]"
"In post","2021","Undeclared","Crown Prosecution Service","Legal","Outside London","30","30","51490","51950"
"In post","2021","Undeclared","Crown Prosecution Service","Operational Delivery","London","20","20","[c]","[c]"
"In post","2021","Undeclared","Crown Prosecution Service","Operational Delivery","Outside London","30","30","26170","25870"
"In post","2021","Undeclared","Crown Prosecution Service","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Electronics and Components Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Electronics and Components Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Electronics and Components Agency","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Electronics and Components Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Electronics and Components Agency","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Electronics and Components Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Electronics and Components Agency","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Electronics and Components Agency","Science and Engineering","Outside London","15","15","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Commercial","Outside London","40","35","42320","38820"
"In post","2021","Undeclared","Defence Equipment and Support","Digital, Data and Technology","Outside London","25","25","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Finance","Outside London","25","25","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Human Resources","Outside London","5","5","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Knowledge and Information Management","Outside London","15","15","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Other","London","10","10","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Other","Outside London","165","160","33250","31240"
"In post","2021","Undeclared","Defence Equipment and Support","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Policy","Outside London","5","5","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Project Delivery","Outside London","140","135","43580","41630"
"In post","2021","Undeclared","Defence Equipment and Support","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Property","Outside London","10","10","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Science and Engineering","Outside London","195","190","40190","40070"
"In post","2021","Undeclared","Defence Equipment and Support","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Equipment and Support","Security","Outside London","10","10","[c]","[c]"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Commercial","Outside London","5","5","[c]","[c]"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Digital, Data and Technology","Outside London","15","15","[c]","[c]"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Knowledge and Information Management","Outside London","10","10","[c]","[c]"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Operational Delivery","Outside London","25","25","[c]","[c]"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Operational Research","Outside London","40","40","43120","46080"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Project Delivery","Outside London","35","35","43670","46080"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Property","Outside London","5","5","[c]","[c]"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Science and Engineering","Outside London","290","285","41860","44370"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","London","15","15","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","London","15","15","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","London","10","10","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","London","170","170","53150","53600"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Outside London","15","15","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Other","London","5","5","[c]","[c]"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Policy","London","25","25","[c]","[c]"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Commercial","Outside London","5","5","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Digital, Data and Technology","Outside London","15","15","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Finance","London","10","10","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Finance","Outside London","15","15","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Operational Delivery","Outside London","10","10","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Policy","London","40","40","51050","53470"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Policy","Outside London","50","50","39190","36960"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Property","London","10","10","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Property","Outside London","15","15","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
