"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","30-39","Analysis","G6/G7","Unknown","20","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","SEO/HEO","Heterosexual / straight","100","[c]","35300","35050"
"New entrant CS","2021","30-39","Analysis","SEO/HEO","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","SEO/HEO","Undeclared","5","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","SEO/HEO","Unknown","45","[c]","34950","32540"
"New entrant CS","2021","30-39","Commercial","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","EO","Heterosexual / straight","10","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","EO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","G6/G7","Heterosexual / straight","15","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","G6/G7","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","SCS level","Unknown","45","[c]","69240","68000"
"New entrant CS","2021","30-39","Commercial","SEO/HEO","Heterosexual / straight","60","[c]","37710","36500"
"New entrant CS","2021","30-39","Commercial","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Commercial","SEO/HEO","Undeclared","5","[c]","[c]","[c]"
