"Status","Year","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Property","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Department for Environment, Food and Rural Affairs","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Property","Department for Environment, Food and Rural Affairs","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Property","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Foreign, Commonwealth and Development Office","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Property","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","HM Revenue and Customs","Female","115","[c]","27560","24500"
"Leaver CS","2021","Property","HM Revenue and Customs","Male","140","[c]","31210","26000"
"Leaver CS","2021","Property","Ministry of Defence","Female","35","[c]","24240","18800"
"Leaver CS","2021","Property","Ministry of Defence","Male","110","[c]","31460","33020"
"Leaver CS","2021","Property","Ministry of Justice","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Property","Ministry of Justice","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Property","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Scottish Government","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Property","Scottish Government","Male","55","[c]","28630","26530"
"Leaver CS","2021","Property","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Cabinet Office","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Security","Cabinet Office","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Security","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Foreign, Commonwealth and Development Office","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Security","Ministry of Defence","Female","50","[c]","29790","26670"
"Leaver CS","2021","Security","Ministry of Defence","Male","300","[c]","29410","25680"
"Leaver CS","2021","Security","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Ministry of Justice","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Security","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Charity Commission","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Charity Commission","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Business, Energy and Industrial Strategy","Female","30","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Business, Energy and Industrial Strategy","Male","65","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Education","Female","190","[c]","42910","36980"
"Leaver CS","2021","Unknown","Department for Education","Male","155","[c]","43940","40300"
"Leaver CS","2021","Unknown","Department for Education","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Environment, Food and Rural Affairs","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Environment, Food and Rural Affairs","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Transport","Female","45","[c]","36280","30450"
"Leaver CS","2021","Unknown","Department for Transport","Male","60","[c]","47790","42940"
"Leaver CS","2021","Unknown","Department for Work and Pensions","Female","2760","[c]","26140","26120"
"Leaver CS","2021","Unknown","Department for Work and Pensions","Male","1630","[c]","26970","26890"
"Leaver CS","2021","Unknown","Department of Health and Social Care","Female","100","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department of Health and Social Care","Male","85","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department of Health and Social Care","Unknown","90","[c]","47200","40450"
"Leaver CS","2021","Unknown","Food Standards Agency","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Foreign, Commonwealth and Development Office","Female","50","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Foreign, Commonwealth and Development Office","Male","70","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HM Revenue and Customs","Female","3325","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HM Revenue and Customs","Male","2105","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Home Office","Female","675","[c]","28790","25120"
"Leaver CS","2021","Unknown","Home Office","Male","660","[c]","31920","27250"
"Leaver CS","2021","Unknown","Ministry of Defence","Female","600","[c]","28940","23100"
"Leaver CS","2021","Unknown","Ministry of Defence","Male","890","[c]","32280","29930"
"Leaver CS","2021","Unknown","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Other Cabinet Office Agencies","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Other Cabinet Office Agencies","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland Office","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scottish Government","Female","220","[c]","39210","32140"
"Leaver CS","2021","Unknown","Scottish Government","Male","195","[c]","42080","35110"
"Leaver CS","2021","Unknown","Welsh Government","Female","75","[c]","40540","36500"
"Leaver CS","2021","Unknown","Welsh Government","Male","70","[c]","45470","37410"
"Leaver Dept.","2021","Analysis","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Department for Business, Energy and Industrial Strategy","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Department for Business, Energy and Industrial Strategy","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Department for Digital, Culture, Media and Sport","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Department for Digital, Culture, Media and Sport","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Department for Education","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Department for International Trade","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Department for International Trade","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","HM Treasury","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","HM Treasury","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Ministry of Defence","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Ministry of Defence","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Ministry of Housing, Communities and Local Government","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Ministry of Housing, Communities and Local Government","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Ministry of Justice","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Ministry of Justice","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Office for Standards in Education","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Office for Standards in Education","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","United Kingdom Statistics Authority","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","United Kingdom Statistics Authority","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Wales Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Wales Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Welsh Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Welsh Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Cabinet Office","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Cabinet Office","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Education","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Transport","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Foreign, Commonwealth and Development Office","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Ministry of Defence","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Ministry of Defence","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Ministry of Justice","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Ministry of Justice","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Other Cabinet Office Agencies","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Other Cabinet Office Agencies","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","The National Archives","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","The National Archives","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Cabinet Office","Female","30","[c]","35380","34140"
"Leaver Dept.","2021","Communications","Cabinet Office","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Business, Energy and Industrial Strategy","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Business, Energy and Industrial Strategy","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Environment, Food and Rural Affairs","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for International Trade","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for International Trade","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","ESTYN","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","ESTYN","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Defence","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Defence","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Housing, Communities and Local Government","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Housing, Communities and Local Government","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Justice","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Scotland Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Scotland Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Wales Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Wales Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Attorney General's Departments","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Cabinet Office","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Cabinet Office","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Cabinet Office","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Cabinet Office","Male","35","[c]","52280","54700"
"Leaver Dept.","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Department for Education","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Department for International Trade","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Department for Transport","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Department for Transport","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Department of Health and Social Care","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Ministry of Defence","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Ministry of Defence","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Ministry of Justice","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Ministry of Justice","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
