"Status","Year","Age","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","50-59","Department for Work and Pensions","SCS level","Male","80","80","92190","82840"
"In post","2021","50-59","Department for Work and Pensions","SEO/HEO","Female","3000","2835","35210","34290"
"In post","2021","50-59","Department for Work and Pensions","SEO/HEO","Male","1785","1750","37360","35120"
"In post","2021","50-59","Department of Health and Social Care","AA/AO","Female","125","105","21690","21940"
"In post","2021","50-59","Department of Health and Social Care","AA/AO","Male","30","25","[c]","[c]"
"In post","2021","50-59","Department of Health and Social Care","EO","Female","225","210","27410","27530"
"In post","2021","50-59","Department of Health and Social Care","EO","Male","60","55","27330","27400"
"In post","2021","50-59","Department of Health and Social Care","G6/G7","Female","570","540","59470","56210"
"In post","2021","50-59","Department of Health and Social Care","G6/G7","Male","385","380","60880","58770"
"In post","2021","50-59","Department of Health and Social Care","SCS level","Female","175","160","105160","103660"
"In post","2021","50-59","Department of Health and Social Care","SCS level","Male","150","145","105410","99240"
"In post","2021","50-59","Department of Health and Social Care","SEO/HEO","Female","545","495","37220","37500"
"In post","2021","50-59","Department of Health and Social Care","SEO/HEO","Male","285","275","38600","40450"
"In post","2021","50-59","ESTYN","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","ESTYN","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","ESTYN","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","ESTYN","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","ESTYN","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","50-59","ESTYN","G6/G7","Male","20","20","[c]","[c]"
"In post","2021","50-59","ESTYN","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","ESTYN","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","ESTYN","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","ESTYN","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Food Standards Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Food Standards Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Food Standards Agency","EO","Female","20","20","[c]","[c]"
"In post","2021","50-59","Food Standards Agency","EO","Male","170","170","27310","26750"
"In post","2021","50-59","Food Standards Agency","G6/G7","Female","25","25","[c]","[c]"
"In post","2021","50-59","Food Standards Agency","G6/G7","Male","40","40","56140","56130"
"In post","2021","50-59","Food Standards Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Food Standards Agency","SCS level","Male","10","10","[c]","[c]"
"In post","2021","50-59","Food Standards Agency","SEO/HEO","Female","65","65","36550","37910"
"In post","2021","50-59","Food Standards Agency","SEO/HEO","Male","95","95","36180","36940"
"In post","2021","50-59","Foreign, Commonwealth and Development Office","AA/AO","Female","90","85","25770","24950"
"In post","2021","50-59","Foreign, Commonwealth and Development Office","AA/AO","Male","65","65","26630","28000"
"In post","2021","50-59","Foreign, Commonwealth and Development Office","EO","Female","150","145","30470","30630"
"In post","2021","50-59","Foreign, Commonwealth and Development Office","EO","Male","105","105","31300","30900"
"In post","2021","50-59","Foreign, Commonwealth and Development Office","G6/G7","Female","315","305","62180","61050"
"In post","2021","50-59","Foreign, Commonwealth and Development Office","G6/G7","Male","455","450","63690","63810"
"In post","2021","50-59","Foreign, Commonwealth and Development Office","SCS level","Female","80","75","88550","78760"
"In post","2021","50-59","Foreign, Commonwealth and Development Office","SCS level","Male","130","130","92170","82600"
"In post","2021","50-59","Foreign, Commonwealth and Development Office","SEO/HEO","Female","285","275","39380","39270"
"In post","2021","50-59","Foreign, Commonwealth and Development Office","SEO/HEO","Male","385","380","40750","39770"
"In post","2021","50-59","HM Land Registry","AA/AO","Female","220","200","22510","22350"
"In post","2021","50-59","HM Land Registry","AA/AO","Male","105","100","22650","22350"
"In post","2021","50-59","HM Land Registry","EO","Female","695","575","27370","27130"
"In post","2021","50-59","HM Land Registry","EO","Male","300","285","27520","27130"
"In post","2021","50-59","HM Land Registry","G6/G7","Female","55","55","63360","61260"
"In post","2021","50-59","HM Land Registry","G6/G7","Male","50","50","63180","61090"
"In post","2021","50-59","HM Land Registry","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","HM Land Registry","SCS level","Male","5","5","[c]","[c]"
"In post","2021","50-59","HM Land Registry","SEO/HEO","Female","545","490","36510","33840"
"In post","2021","50-59","HM Land Registry","SEO/HEO","Male","465","440","37520","33840"
"In post","2021","50-59","HM Revenue and Customs","AA/AO","Female","4170","3340","21160","21440"
"In post","2021","50-59","HM Revenue and Customs","AA/AO","Male","2115","1980","21040","20880"
"In post","2021","50-59","HM Revenue and Customs","EO","Female","2540","2265","27190","26930"
"In post","2021","50-59","HM Revenue and Customs","EO","Male","1625","1560","27290","27240"
"In post","2021","50-59","HM Revenue and Customs","G6/G7","Female","1330","1285","57210","53450"
"In post","2021","50-59","HM Revenue and Customs","G6/G7","Male","1475","1455","58760","58060"
"In post","2021","50-59","HM Revenue and Customs","SCS level","Female","115","115","84860","78630"
"In post","2021","50-59","HM Revenue and Customs","SCS level","Male","120","120","88280","82100"
"In post","2021","50-59","HM Revenue and Customs","SEO/HEO","Female","3470","3265","35760","35000"
"In post","2021","50-59","HM Revenue and Customs","SEO/HEO","Male","3115","3045","36410","36160"
"In post","2021","50-59","HM Treasury","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","50-59","HM Treasury","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","HM Treasury","EO","Female","30","30","28710","29230"
"In post","2021","50-59","HM Treasury","EO","Male","10","10","[c]","[c]"
"In post","2021","50-59","HM Treasury","G6/G7","Female","60","55","59800","59310"
"In post","2021","50-59","HM Treasury","G6/G7","Male","90","90","64830","62870"
"In post","2021","50-59","HM Treasury","SCS level","Female","10","10","[c]","[c]"
"In post","2021","50-59","HM Treasury","SCS level","Male","20","20","[c]","[c]"
"In post","2021","50-59","HM Treasury","SEO/HEO","Female","75","75","40620","39980"
"In post","2021","50-59","HM Treasury","SEO/HEO","Male","70","65","42140","42280"
"In post","2021","50-59","Home Office","AA/AO","Female","1240","1070","22200","21430"
"In post","2021","50-59","Home Office","AA/AO","Male","690","655","21940","21430"
"In post","2021","50-59","Home Office","EO","Female","1900","1700","27380","27370"
"In post","2021","50-59","Home Office","EO","Male","2170","1970","27810","27370"
"In post","2021","50-59","Home Office","G6/G7","Female","420","410","60830","57740"
"In post","2021","50-59","Home Office","G6/G7","Male","530","525","62150","60110"
"In post","2021","50-59","Home Office","SCS level","Female","30","30","95920","87910"
"In post","2021","50-59","Home Office","SCS level","Male","60","60","97160","86760"
"In post","2021","50-59","Home Office","SEO/HEO","Female","1145","1100","36890","36510"
"In post","2021","50-59","Home Office","SEO/HEO","Male","1205","1190","37100","36620"
"In post","2021","50-59","Home Office","Unknown","Female","15","15","[c]","[c]"
"In post","2021","50-59","Home Office","Unknown","Male","35","35","[c]","[c]"
"In post","2021","50-59","Ministry of Defence","AA/AO","Female","2595","2460","21450","21130"
"In post","2021","50-59","Ministry of Defence","AA/AO","Male","3480","3455","23740","20920"
"In post","2021","50-59","Ministry of Defence","EO","Female","1410","1350","27050","26670"
"In post","2021","50-59","Ministry of Defence","EO","Male","2005","1985","28660","26930"
"In post","2021","50-59","Ministry of Defence","G6/G7","Female","700","670","59000","56030"
"In post","2021","50-59","Ministry of Defence","G6/G7","Male","1635","1615","58730","56350"
"In post","2021","50-59","Ministry of Defence","SCS level","Female","55","55","89240","85920"
"In post","2021","50-59","Ministry of Defence","SCS level","Male","135","135","98290","93320"
"In post","2021","50-59","Ministry of Defence","SEO/HEO","Female","2315","2235","36900","35480"
"In post","2021","50-59","Ministry of Defence","SEO/HEO","Male","3975","3945","38650","38110"
"In post","2021","50-59","Ministry of Defence","Unknown","Female","165","165","42280","39860"
"In post","2021","50-59","Ministry of Defence","Unknown","Male","940","940","46060","41850"
"In post","2021","50-59","Ministry of Housing, Communities and Local Government","AA/AO","Female","30","25","[c]","[c]"
"In post","2021","50-59","Ministry of Housing, Communities and Local Government","AA/AO","Male","30","30","[c]","[c]"
"In post","2021","50-59","Ministry of Housing, Communities and Local Government","EO","Female","40","40","28980","29050"
"In post","2021","50-59","Ministry of Housing, Communities and Local Government","EO","Male","45","45","30140","30160"
"In post","2021","50-59","Ministry of Housing, Communities and Local Government","G6/G7","Female","160","150","58540","57360"
"In post","2021","50-59","Ministry of Housing, Communities and Local Government","G6/G7","Male","185","185","59500","58810"
"In post","2021","50-59","Ministry of Housing, Communities and Local Government","SCS level","Female","20","20","[c]","[c]"
"In post","2021","50-59","Ministry of Housing, Communities and Local Government","SCS level","Male","15","15","[c]","[c]"
"In post","2021","50-59","Ministry of Housing, Communities and Local Government","SEO/HEO","Female","120","115","36950","36340"
