"Status","Year","Region_ITL1","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","North West (England)","SEO/HEO","Female","Heterosexual / straight","5070","4755","34980","33300"
"In post","2021","North West (England)","SEO/HEO","Female","LGBO","200","200","34970","32770"
"In post","2021","North West (England)","SEO/HEO","Female","Undeclared","535","495","35170","33840"
"In post","2021","North West (England)","SEO/HEO","Female","Unknown","1140","1075","33970","31990"
"In post","2021","North West (England)","SEO/HEO","Male","Heterosexual / straight","4000","3890","35750","34290"
"In post","2021","North West (England)","SEO/HEO","Male","LGBO","290","285","34830","33510"
"In post","2021","North West (England)","SEO/HEO","Male","Undeclared","525","510","36340","35000"
"In post","2021","North West (England)","SEO/HEO","Male","Unknown","1210","1180","34780","32900"
"In post","2021","North West (England)","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Unknown","Female","Heterosexual / straight","1180","1090","29600","30210"
"In post","2021","North West (England)","Unknown","Female","LGBO","80","75","29190","28200"
"In post","2021","North West (England)","Unknown","Female","Undeclared","85","80","31920","31360"
"In post","2021","North West (England)","Unknown","Female","Unknown","115","100","27710","23840"
"In post","2021","North West (England)","Unknown","Male","Heterosexual / straight","405","395","33920","32710"
"In post","2021","North West (England)","Unknown","Male","LGBO","40","35","30950","32050"
"In post","2021","North West (England)","Unknown","Male","Undeclared","65","60","33920","34950"
"In post","2021","North West (England)","Unknown","Male","Unknown","55","50","29710","28200"
"In post","2021","North West (England)","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","AA/AO","Female","Heterosexual / straight","435","375","21040","21430"
"In post","2021","Northern Ireland","AA/AO","Female","LGBO","20","15","[c]","[c]"
"In post","2021","Northern Ireland","AA/AO","Female","Undeclared","35","35","21740","21430"
"In post","2021","Northern Ireland","AA/AO","Female","Unknown","210","180","20580","20140"
"In post","2021","Northern Ireland","AA/AO","Male","Heterosexual / straight","670","650","20720","20310"
"In post","2021","Northern Ireland","AA/AO","Male","LGBO","25","25","[c]","[c]"
"In post","2021","Northern Ireland","AA/AO","Male","Undeclared","60","55","21090","20310"
"In post","2021","Northern Ireland","AA/AO","Male","Unknown","230","220","20420","20140"
"In post","2021","Northern Ireland","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","EO","Female","Heterosexual / straight","355","325","26700","25560"
"In post","2021","Northern Ireland","EO","Female","LGBO","20","15","[c]","[c]"
"In post","2021","Northern Ireland","EO","Female","Undeclared","25","20","[c]","[c]"
"In post","2021","Northern Ireland","EO","Female","Unknown","100","95","26390","25560"
"In post","2021","Northern Ireland","EO","Male","Heterosexual / straight","310","300","26770","25560"
"In post","2021","Northern Ireland","EO","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Northern Ireland","EO","Male","Undeclared","35","35","26400","25560"
"In post","2021","Northern Ireland","EO","Male","Unknown","120","120","25950","25560"
"In post","2021","Northern Ireland","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","G6/G7","Female","Heterosexual / straight","85","80","57040","52580"
"In post","2021","Northern Ireland","G6/G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","G6/G7","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Northern Ireland","G6/G7","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Northern Ireland","G6/G7","Male","Heterosexual / straight","100","100","55710","52580"
