"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Communications","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","EO","15","10","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","G6","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","G7","45","40","54250","54110"
"In post","2021","Declared non-disabled","Corporate Finance","HEO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","SEO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","AA","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","AO","35","30","21520","21430"
"In post","2021","Declared non-disabled","Counter Fraud","EO","130","125","26470","25580"
"In post","2021","Declared non-disabled","Counter Fraud","G6","30","30","70280","69110"
"In post","2021","Declared non-disabled","Counter Fraud","G7","50","50","56710","57680"
"In post","2021","Declared non-disabled","Counter Fraud","HEO","205","195","35250","34820"
"In post","2021","Declared non-disabled","Counter Fraud","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","SEO","140","135","42570","41650"
"In post","2021","Declared non-disabled","Digital, Data and Technology","AA","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Digital, Data and Technology","AO","235","225","22050","21580"
"In post","2021","Declared non-disabled","Digital, Data and Technology","EO","1265","1215","27500","26670"
"In post","2021","Declared non-disabled","Digital, Data and Technology","G6","465","460","68440","67000"
"In post","2021","Declared non-disabled","Digital, Data and Technology","G7","1820","1790","55880","53890"
"In post","2021","Declared non-disabled","Digital, Data and Technology","HEO","2110","2040","33700","33290"
"In post","2021","Declared non-disabled","Digital, Data and Technology","SCS level","155","150","92430","86950"
"In post","2021","Declared non-disabled","Digital, Data and Technology","SEO","2265","2210","41950","41860"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Unknown","40","35","35940","33130"
"In post","2021","Declared non-disabled","Economics","AA","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","AO","45","45","23900","24120"
"In post","2021","Declared non-disabled","Economics","EO","60","60","27390","27680"
"In post","2021","Declared non-disabled","Economics","G6","170","165","70500","69700"
"In post","2021","Declared non-disabled","Economics","G7","485","470","56380","56610"
"In post","2021","Declared non-disabled","Economics","HEO","465","460","33960","33880"
"In post","2021","Declared non-disabled","Economics","SCS level","75","75","88190","81770"
"In post","2021","Declared non-disabled","Economics","SEO","85","85","41620","42210"
"In post","2021","Declared non-disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","AA","40","35","19660","20070"
"In post","2021","Declared non-disabled","Finance","AO","685","585","21620","21440"
"In post","2021","Declared non-disabled","Finance","EO","1145","1080","26570","26670"
"In post","2021","Declared non-disabled","Finance","G6","445","440","68250","67520"
"In post","2021","Declared non-disabled","Finance","G7","1130","1105","55900","55320"
"In post","2021","Declared non-disabled","Finance","HEO","1310","1260","33710","33300"
"In post","2021","Declared non-disabled","Finance","SCS level","220","215","90150","82940"
"In post","2021","Declared non-disabled","Finance","SEO","1365","1320","42070","41100"
"In post","2021","Declared non-disabled","Finance","Unknown","110","105","40890","39860"
"In post","2021","Declared non-disabled","Human Resources","AA","40","40","19780","19560"
"In post","2021","Declared non-disabled","Human Resources","AO","750","690","21730","21130"
"In post","2021","Declared non-disabled","Human Resources","EO","855","800","26960","26670"
"In post","2021","Declared non-disabled","Human Resources","G6","315","305","67240","66160"
"In post","2021","Declared non-disabled","Human Resources","G7","880","845","55280","54580"
"In post","2021","Declared non-disabled","Human Resources","HEO","1295","1230","33010","33000"
"In post","2021","Declared non-disabled","Human Resources","SCS level","140","135","89860","83680"
"In post","2021","Declared non-disabled","Human Resources","SEO","1000","955","41790","41060"
"In post","2021","Declared non-disabled","Human Resources","Unknown","35","30","41430","41040"
"In post","2021","Declared non-disabled","Inspector of Education and Training","G6","130","125","80810","85550"
"In post","2021","Declared non-disabled","Inspector of Education and Training","G7","330","325","73590","75500"
"In post","2021","Declared non-disabled","Inspector of Education and Training","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","SCS level","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","SEO","250","245","51010","51360"
"In post","2021","Declared non-disabled","Intelligence Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","AO","105","95","23260","21710"
"In post","2021","Declared non-disabled","Intelligence Analysis","EO","1170","1105","27700","27370"
