"Status","Year","Age","Function_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","Outside London","15","15","26780","25560"
"In post","2021","20-29","Counter Fraud","Derbyshire and Nottinghamshire","Outside London","70","70","29140","25560"
"In post","2021","20-29","Counter Fraud","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","East Anglia","Outside London","45","45","23920","25560"
"In post","2021","20-29","Counter Fraud","East Wales","Outside London","45","45","28550","25560"
"In post","2021","20-29","Counter Fraud","Eastern Scotland","Outside London","30","30","27170","25560"
"In post","2021","20-29","Counter Fraud","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","60","60","31980","25560"
"In post","2021","20-29","Counter Fraud","Greater Manchester","Outside London","135","135","27060","25560"
"In post","2021","20-29","Counter Fraud","Hampshire and Isle of Wight","Outside London","10","10","26130","25560"
"In post","2021","20-29","Counter Fraud","Inner London - East","London","15","15","33550","29570"
"In post","2021","20-29","Counter Fraud","Inner London - West","London","190","190","34040","29570"
"In post","2021","20-29","Counter Fraud","Kent","Outside London","20","20","25930","25560"
"In post","2021","20-29","Counter Fraud","Lancashire","Outside London","[c]","[c]","[c]","[c]"
