"Status","Year","Ethnicity","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Property","London","Heterosexual / straight","105","100","39260","36400"
"In post","2021","Asian","Property","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Property","London","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Property","Outside London","Heterosexual / straight","85","85","36160","31100"
"In post","2021","Asian","Property","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Property","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Property","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
